artist.familiarity,artist.hotttnesss,artist.id
0.581793766,0.401997543,ARD7TVE1187B99BFB1
0.630630038,0.417499645,ARMJAGH1187FB546F3
0.487356791,0.343428378,ARKRRTF1187B9984DA
0.630382334,0.454231157,AR7G5I41187FB4CE6C
0.651045661,0.401723686,ARXR32B1187FB57099
0.535292736,0.385470551,ARKFYS91187B98E58F
0.556495602,0.261941177,ARD0S291187B9B7BF5
0.801136447,0.605507136,AR10USD1187B99F3F1
0.426667857,0.332275747,AR8ZCNI1187B9A069B
0.550513698,0.422705641,ARNTLGG11E2835DDB9
0.360031167,0.296268954,ARGSJW91187B9B1D6B
0.545159296,0.351555861,ARC43071187B990240
0.577508974,0.37948217,ARL7K851187B99ACD2
0.085512047,0.251936525,ARHHO3O1187B989413
0.776675856,0.553071992,ARIK43K1187B9AE54C
0.636423645,0.447935481,ARD842G1187B997376
0.419943148,0.330806357,ARIG6O41187B988BDD
0.363280571,0.306676094,AR1ZHYZ1187FB3C717
0.707199764,0.51346329,ARYKCQI1187FB3B18F
0.32031437,0.0,ARNPAGP1241B9C7FD4
0.39413854,0.291539727,ARQGYP71187FB44566
0.489816269,0.328553015,ARI3BMM1187FB4255E
0.677420465,0.378254686,AR5KOSW1187FB35FF4
0.839962768,0.541888972,ARMAC4T1187FB3FA4C
0.435415818,0.306242264,AR47JEX1187B995D81
0.6090637,0.363651365,ARGIWFO1187B9B55B7
0.550513698,0.422705641,ARNTLGG11E2835DDB9
0.459797129,0.349912612,ARDNS031187B9924F0
0.588827101,0.379671125,AROUOZZ1187B9ABE51
0.396455254,0.299230368,ARH4Z031187B9A71F2
0.706827671,0.416173065,ARB29H41187B98F0EF
0.560557984,0.452789477,AR1Y2PT1187FB5B9CE
0.640807102,0.418216518,ARAJPHH1187FB5566A
0.523714637,0.384611084,AR0RCMP1187FB3F427
0.79360508,0.426317956,AREBBGV1187FB523D2
0.501544777,0.392733676,ARGUVEV1187B98BA17
0.809323793,0.488019842,ARPQ4Z01187FB3A736
0.632559542,0.41168896,ARNQAVF11F4C844C04
0.597541218,0.382651971,ARXUT4W1187FB48BEB
0.495445922,0.294861262,ARDD1RC1187B9B52B4
0.527865076,0.393121934,ARLGWFM1187FB4AC9F
